Chip,chip released,Chipset Serial,Chipset Family,Aggregated BW,SerDes,common usage,Buffer,Latency,References
arad+,mid 2015,BCM88660,StrataDNX,,,,,,
FE3600,,BCM88770,StrataDNX Fabric,3.6 Tbps,,,,,https://www.broadcom.com/products/ethernet-connectivity/switching/stratadnx/bcm88770
Jericho,,BCM88670,StrataDNX,720 Gbps,24 x 25G + 48 x 10G,,,,https://www.broadcom.com/products/ethernet-connectivity/switching/stratadnx/bcm88670
Jericho 2,mid 2018,BCM88690,StrataDNX,10 Tbps,96 x 50G,,,,https://www.broadcom.com/products/ethernet-connectivity/switching/stratadnx/bcm88690
Jericho 2c,mid 2019,BCM88800,StrataDNX,4.8 Tbps,32 x 50G + 96 x 25G,,,,https://www.broadcom.com/products/ethernet-connectivity/switching/stratadnx/bcm88800
Jericho 2c+,,BCM88850,,14.4 Tbps ,144 x 50G,,,,
Jericho+,mid 2016,BCM88680,StrataDNX,900 Gbps,48 x 25G + 24 x 10G,,,,https://www.broadcom.com/products/ethernet-connectivity/switching/stratadnx/bcm88680
Qumran 2a,,,,800 Gbps,16 x 50G + 36 x 25G,,,,https://www.broadcom.com/products/ethernet-connectivity/switching/stratadnx/bcm88480
Qumran 2c,mid 2019,BCM88820,StrataDNX,2.4 Tbps,,,,,https://www.broadcom.com/products/ethernet-connectivity/switching/stratadnx/bcm88820
Qumran AX,end 2016,BCM88470,StrataDNX,300 Gbps,16 x 25G + 32 x 10G,,,,https://www.broadcom.com/products/ethernet-connectivity/switching/stratadnx/bcm88470
Qumran MX,mid 2016,BCM88370,StrataDNX,800 Gbps,24 x 25G + 48 x 10G,,,,https://www.broadcom.com/products/ethernet-connectivity/switching/stratadnx/bcm88370
Qumran UX,ealy 2017,BCM88270,StrataDNX,120 Gbps,8 x 10G + 28 x 2.5G,,,,https://www.broadcom.com/products/ethernet-connectivity/switching/stratadnx/bcm88270
Qumran2u,,BCM88280,,360 Gbps,36 / 40 x25G,,,,https://www.broadcom.com/products/ethernet-connectivity/switching/stratadnx/bcm88280
Ramon,,BCM88790,StrataDNX Fabric,9.6 Tbps,,,,,https://www.broadcom.com/products/ethernet-connectivity/switching/stratadnx/bcm88790
Tofino,,BFN-T10-018D,Tofino,1.8 Tbps,,,20 MB,,
Tomahawk,early 2015,BCM56960,StrataXGS,3.2 Tbps,128 x 25G,"32x 100GbE,64x 40GbE,128x 25GbE",16MB (4x4MB),550 ns,https://www.broadcom.com/products/ethernet-connectivity/switching/strataxgs/bcm56960-series
Tomahawk 2,mid 2016,BCM56970,StrataXGS,6.4 Tbps,256 x 25G,"64x 100GbE,128x 40GbE",42MB (4x10.5MB),420 ns,https://www.broadcom.com/products/ethernet-connectivity/switching/strataxgs/bcm56970-series
Tomahawk 3,end 2017,BCM56980,StrataXGS,12.8 Tbps,256 x 50G,"32 × 400G, 128 × 100G",64 MB,430 ns (unloaded),https://www.broadcom.com/products/ethernet-connectivity/switching/strataxgs/bcm56980-series
Tomahawk 3,,BCM56982,StrataXGS,8 Tbps,,"20 × 400G, 48 × 100G + 8 × 400G",64 MB,,https://www.broadcom.com/products/ethernet-connectivity/switching/strataxgs/bcm56980-series
Tomahawk 3,,BCM56983,StrataXGS,6.4 Tbps,,16 × 400G,32 MB,430 ns (unloaded),https://www.broadcom.com/products/ethernet-connectivity/switching/strataxgs/bcm56980-series
