Chassis,Vendor,ASIC,Ports,Total Bandwidth,Total PPS,Latency,Buffer,Reference,Notes
7020SR-24C2,Arista,QumranAX,24x10G SFP+ + 2x100G QSFP100,880 Gbps,,3.8 us,3 GB,,
7020SR-32C2,Arista,QumranAX,32x10G SFP+ + 2x100G QSFP100,1.04 Tbps,,3.8 us,3 GB,,
7020SRG-24C2,Arista,QumranAX,24x10G SFP+ + 2x100G QSFP100,880 Gbps,,3.8 us,3 GB,,
7020TR-48,Arista,Qumran-AX,48 x100/1000 Mb RJ-45 6 x 1/10GbE SFP+,216 Gbps,,3.8 us,3 GB,https://www.arista.com/assets/data/pdf/Datasheets/7020R-48_Datasheet.pdf,
7020TRA-48,Arista,Qumran-AX + Algomatch,48 x100/1000 Mb RJ-45 6 x 1/10GbE SFP+,216 Gbps,,3.8 us,3 GB,,
7048T-A,Arista,Petra,48x 100/1000Base-T + 4x 1/10Gb SFP/SFP+,176 Gbps,,3 us,768 MB,https://www.arista.com/assets/data/pdf/Datasheets/7048T-A_DataSheet.pdf,
7050CX3-32S,Arista,Trident3,32x QSFP100 2x SFP+,6.4 Tbps,,800 ns,32 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050X3-Datasheet.pdf,
7050QX-32,Arista,Trident2,32 x QSFP+,2.56 Tbps,,550 ns,12 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050QX-32_32S_Datasheet.pdf,
7050QX-32S,Arista,Trident2,32 x QSFP+ + 4 x SFP+,2.56 Tbps,,550 ns,12 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050QX-32_32S_Datasheet.pdf,
7050SX-128,Arista,Trident2,96 x SFP+  8 x QSFP+,2.56 Tbps,,550 ns,12 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050SX-128_64_Datasheet_S.pdf,
7050SX-64,Arista,Trident2,48 x SFP+  4 x QSFP+,1.28 Tbps,,550 ns,12 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050SX-128_64_Datasheet_S.pdf,
7050SX-72Q,Arista,Trident2,48 x SFP+  6x QSFP+,1.44 Tbps,,550 ns,12 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050SX-128_64_Datasheet_S.pdf,
7050SX2-128,Arista,Trident2+,96 x SFP+  8 x QSFP+,2.56 Tbps,,550 ns,16 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050SX-128_64_Datasheet_S.pdf,
7050SX2-72Q,Arista,Trident2+,48 x SFP+  6x QSFP+,1.44 Tbps,,550 ns,16 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050SX-128_64_Datasheet_S.pdf,
7050SX3-48C8,Arista,Trident3,48x SFP+ 8x QSFP100,2.56 Tbps,,800 ns,32 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050X3-Datasheet.pdf,
7050SX3-48YC12,Arista,Trident3,48x SFP25 12x QSFP100,4.8 Tbps,,800 ns,32 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050X3-Datasheet.pdf,
7050SX3-48YC8,Arista,Trident3,48x SFP25 8x QSFP100,4 Tbps,,800 ns,32 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050X3-Datasheet.pdf,
7050SX3-96YC8,Arista,Trident3,96x SFP25 8x QSFP100 2 SFP+,6.4 Tbps,,800 ns,32 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050X3-Datasheet.pdf,
7050TX-128,Arista,Trident2,96 x 10G-T8 x QSFP+,2.56 Tbps,,3 us,12 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050TX-128_48_Datasheet.pdf,
7050TX-48,Arista,Trident2,32 x 10G-T4 x QSFP+,960 Gbps,,3 us,12 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050TX-128_48_Datasheet.pdf,
7050TX-64,Arista,Trident2,48 x 10G-T4 x QSFP+,1.28 Tbps,,3 us,12 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050TX-128_48_Datasheet.pdf,
7050TX-72,Arista,Trident2,48 x 10G-T 2 x MXP,1.44 Tbps,,3 us,12 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050TX-128_48_Datasheet.pdf,
7050TX-72Q,Arista,Trident2,48 x 10G-T 6 x QSFP+,1.44 Tbps,,3 us,12 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050TX-128_48_Datasheet.pdf,
7050TX-96,Arista,Trident2,48 x 10G-T 4 x MXP,1.92 Tbps,,3 us,12 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050TX-128_48_Datasheet.pdf,
7050TX3-48C8,Arista,Trident3,48x 10G-T 8x QSFP100,2.56 Tbps,,3 us,32 MB,https://www.arista.com/assets/data/pdf/Datasheets/7050X3-Datasheet.pdf,
7060CX-32S,Arista,Tomahawk,"32 x 40/100GbE QSFP100ports, 2 SFP+ ports",6.4 Tbps,9.5 Bpps,450 ns,16 MB,https://www.arista.com/assets/data/pdf/Datasheets/7060X_7260X_DS.pdf,
7060CX2-32S,Arista,Tomahawk+,"32 x 40/100GbE QSFP100ports, 2 SFP+ ports",6.4 Tbps,,450 ns,22 MB,https://www.arista.com/assets/data/pdf/Datasheets/7060X_7260X_DS.pdf,
7060SX2-48YC6,Arista,Tomahawk+,"48 x 10/25GbE SFP ports, 6 QSFP100 ports",3.6 Tbps,,450 ns,22 MB,https://www.arista.com/assets/data/pdf/Datasheets/7060X_7260X_DS.pdf,
7150S-24,Arista,Fulcrum FM6000,24 x SFP+,480 Gbps,,350 ns,9.58 MB,https://www.arista.com/assets/data/pdf/Datasheets/7150S_Datasheet.pdf,
7150S-52,Arista,Fulcrum FM6000,52 x SFP+,1.04 Tbps,,380 ns,9.58 MB,https://www.arista.com/assets/data/pdf/Datasheets/7150S_Datasheet.pdf,
7150S-64,Arista,Fulcrum FM6000,48 x SFP+ 4 x QSFP+,1.28 Tbps,,380 ns,9.58 MB,https://www.arista.com/assets/data/pdf/Datasheets/7150S_Datasheet.pdf,
7150SC-24,Arista,Fulcrum FM6000,24 x SFP+,480 Gbps,,350 ns,9.58 MB,https://www.arista.com/assets/data/pdf/Datasheets/7150S_Datasheet.pdf,
7150SC-64,Arista,Fulcrum FM6000,48 x SFP+ 4 x QSFP+,1.28 Tbps,,380 ns,9.58 MB,https://www.arista.com/assets/data/pdf/Datasheets/7150S_Datasheet.pdf,
7260CX-64,Arista,Tomahawk,"64 x 40/100GbE QSFP100ports, 2 SFP+ ports",12.8 Tbps,,550 - 1500 ns,64 MB,https://www.arista.com/assets/data/pdf/Datasheets/7060X_7260X_DS.pdf,
7260CX3-64,Arista,Tomahawk2,64x QSFP100 2x SFP+,12.8 Tbps,,450 ns,42 MB,https://www.arista.com/assets/data/pdf/Datasheets/7260X3_Datasheet.pdf,
7260QX-64,Arista,Tomahawk,"64 x 40GbE QSFP+ ports, 2 SFP+ ports",5.12 Tbps,,550 ns,16 MB,https://www.arista.com/assets/data/pdf/Datasheets/7060X_7260X_DS.pdf,
7280CR-48,Arista,Jericho,48 x QSFP100 &  8 x QSFP+,10.24 Tbps,,3.8 us,32 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280CR2-60,Arista,Jericho+,60 x QSFP100,12 Tbps,,3.8 us,24 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280CR2A-30,Arista,Jericho+ + FlexAlgo,30 x QSFP100,6 Tbps,,3.8 us,12 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280CR2A-60,Arista,Jericho+ + FlexAlgo,60 x QSFP100,12 Tbps,,3.8 us,24 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280CR2K-30,Arista,Jericho+,30 x QSFP100,6 Tbps,,3.8 us,12 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280CR2K-60,Arista,Jericho+,60 x QSFP100,12 Tbps,,3.8 us,24 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280QR-C36,Arista,Qumran-MX,36 x QSFP (24x QSFP+ and  12x QSFP100),4.32 Tbps,,3.8 us,8 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280QR-C72,Arista,Qumran-MX,72 x QSFP  (56x QSFP+ and  16 x QSFP100),6.4 Tbps,,3.8 us,16 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280QRA-C36S,Arista,Qumran-MX,36 x QSFP (24x QSFP+ and  12x QSFP100),3.84 Tbps,,3.8 us,8 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280SE-64,Arista,Arad+,,,,,,,
7280SR-48C6,Arista,Qumran-MX,48 x SFP+ 6 x QSFP100,2.16 Tbps,,3.8 us,4 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280SR2-48YC6,Arista,Jericho+,48 x SFP25 6 x QSFP100,3.6 Tbps,,3.8 us,8 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280SR2A-48YC6,Arista,Jericho+ + FlexAlgo,48 x SFP25 6 x QSFP100,3.6 Tbps,,3.8 us,8 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280SR2K- 48C6,Arista,Jericho+,"24 x SFP25,  24 x SFP+ 6 x QSFP100",2.88 Tbps,,3.8 us,4 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280SRA-48YC6,Arista,Jericho,48 x SFP+ 6 x QSFP100,2.16 Tbps,,3.8 us,4 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280TR-48C6,Arista,Jericho,48 x 10G-T 6 x QSFP100,2.16 Tbps,,3.8 us,4 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
7280TRA-48C6,Arista,Jericho,48 x 10G-T 6 x QSFP100,2.16 Tbps,,3.8 us,4 GB,https://www.arista.com/assets/data/pdf/Datasheets/7280R-DataSheet.pdf,
IX1,Quanta,Tomahawk,32 QSFP28 (10/25/40/50/100GbE),6.4 Tbps,,450 ns,16 MB,https://www.qct.io/product/index/Switch/Bare-Metal-Switch/Spine-Switch/QuantaMesh-BMS-T7032-IX1-IX1B#specifications,
MSN2700,Mellanox,Spectrum,32-port 100GbE,6.4 Tbps,4.76Bpps,300 ns,16 MB,https://www.mellanox.com/related-docs/prod_eth_switches/BR_SN2000series.pdf,
MSN2410,Mellanox,Spectrum,48x25Gb + 8x100Gb,4 Tbps,2.97Bpps,300 ns,16 MB,https://www.mellanox.com/related-docs/prod_eth_switches/BR_SN2000series.pdf,
MSN2100,Mellanox,Spectrum,16 QSFP28 100GbE,3.2 Tbps,2.38Bpps,300 ns,16 MB,https://www.mellanox.com/related-docs/prod_eth_switches/BR_SN2000series.pdf,
MSN2010,Mellanox,Spectrum,18 SFP28 25GbE +  4 QSFP28 100GbE,1.7 Tbps,1.26Bpps,300 ns,16 MB,https://www.mellanox.com/related-docs/prod_eth_switches/BR_SN2000series.pdf,
N3K-36180YC-R,Cisco,Jericho+ (2 chips),48 ports 1/10/25 SFP+ + 6x QSFP28,1.8 Tbps (900GB each),,,8 GB (96K VoQ 16MB of On-chip buffer),https://www.ciscolive.com/c/dam/r/ciscolive/us/docs/2018/pdf/BRKDCN-3734.pdf,
N3K-3636C-R,Cisco,Jericho+ (4 chips),36 QSFP28,3.6 Tbps,,,16 GB,https://www.ciscolive.com/c/dam/r/ciscolive/us/docs/2018/pdf/BRKDCN-3734.pdf,
N3K-C3132C-Z,Cisco,Trident3,32 40/100GE QSFP28 + 2x10GE SPF+,3.2 Tbps,,,32 MB,,
